Total_flights_12,Total_flights_6,Total_distance_12,Total_distance_6,Total_points_earned,Total_points_redeem,Total_redeem_dollar,Flight_first_half,Flight_second_half,Month_active_12,redemption_rate,engagement_trend,Gender,Education,MaritalStatus,LoyaltyCard,EnrollmentType,EnrollmentYear,EnrollmentMonth,Churned
9.0,9,9429.0,9429,9429.0,0.0,0,0,9,12,0.0,9,Male,Bachelor,Married,Nova,Standard,2018,9,False
18.0,9,26551.0,13818,26551.0,0.0,0,9,9,12,0.0,0,Female,Master,Divorced,Star,Standard,2017,10,False
60.0,35,87773.0,47422,131659.0,1658.0,299,28,35,11,0.012593042685705606,7,Male,College,Divorced,Nova,2018 Promotion,2018,2,False
15.0,8,23165.0,13438,23165.0,1750.0,315,7,8,12,0.07554174220840887,1,Female,Doctor,Single,Star,Standard,2012,10,False
18.0,12,28801.0,19494,28801.0,0.0,0,6,12,12,0.0,6,Male,College,Single,Nova,Standard,2016,10,False
0.0,0,0.0,0,0.0,0.0,0,0,0,12,0.0,0,Male,Bachelor,Married,Aurora,Standard,2015,5,True
24.0,12,33143.0,18887,33143.0,951.0,171,12,12,12,0.028692976104272266,0,Female,Bachelor,Married,Nova,Standard,2015,9,False
15.0,7,26027.0,11578,26027.0,0.0,0,8,7,12,0.0,-1,Male,Bachelor,Married,Star,Standard,2012,9,False
25.0,14,32248.0,17600,32248.0,1429.0,257,11,14,12,0.04431145151787652,3,Female,College,Single,Star,Standard,2017,12,False
20.0,6,28795.0,8042,28795.0,542.0,98,14,6,12,0.018822058619252673,-8,Female,Bachelor,Married,Nova,Standard,2017,10,False
19.0,14,35925.0,25280,35925.0,0.0,0,5,14,12,0.0,9,Male,Bachelor,Married,Nova,Standard,2017,6,False
19.0,16,27952.0,22084,27952.0,0.0,0,3,16,12,0.0,13,Female,Bachelor,Single,Aurora,Standard,2017,9,False
0.0,0,0.0,0,0.0,0.0,0,0,0,12,0.0,0,Female,College,Married,Star,Standard,2014,3,True
26.0,17,30953.0,23002,30953.0,597.0,107,9,17,12,0.019286683465787942,8,Female,Bachelor,Divorced,Nova,Standard,2017,4,False
17.0,6,30664.0,13693,30664.0,0.0,0,11,6,12,0.0,-5,Male,College,Divorced,Star,Standard,2016,4,False
23.0,11,32804.0,13466,32804.0,490.0,88,12,11,12,0.014936747447035513,-1,Male,Bachelor,Married,Star,Standard,2016,11,False
25.0,14,33981.0,19904,33981.0,1194.0,215,11,14,12,0.035136248602201166,3,Female,Bachelor,Married,Star,Standard,2017,8,False
0.0,0,0.0,0,0.0,0.0,0,0,0,12,0.0,0,Female,College,Married,Star,Standard,2016,7,True
15.0,8,24109.0,9682,24109.0,646.0,116,7,8,12,0.026793861468270428,1,Female,College,Single,Star,Standard,2013,9,False
11.0,10,17418.0,15971,17418.0,462.0,83,1,10,12,0.026522762500717608,9,Male,Bachelor,Single,Nova,Standard,2015,2,False
17.0,12,22847.0,16972,22847.0,503.0,91,5,12,12,0.022015056022408965,7,Female,Bachelor,Married,Star,Standard,2017,2,False
12.0,7,15874.0,12298,15874.0,0.0,0,5,7,12,0.0,2,Female,Master,Single,Star,Standard,2013,4,False
10.0,10,17719.0,17719,17719.0,0.0,0,0,10,12,0.0,10,Male,College,Married,Star,Standard,2018,7,False
22.0,11,42688.0,18739,42688.0,557.0,100,11,11,12,0.013047857761952728,0,Male,College,Married,Nova,Standard,2016,8,False
9.0,7,11446.0,9994,11446.0,887.0,159,2,7,12,0.07748755132349087,5,Male,Doctor,Married,Aurora,Standard,2013,6,False
20.0,5,26638.0,5297,26638.0,0.0,0,15,5,12,0.0,-10,Male,Bachelor,Divorced,Nova,Standard,2015,4,False
14.0,7,23636.0,11735,23636.0,311.0,56,7,7,12,0.013157338071667302,0,Female,Bachelor,Married,Nova,Standard,2012,8,False
10.0,1,13228.0,540,13228.0,431.0,78,9,1,12,0.03257993801496712,-8,Male,Doctor,Married,Star,Standard,2013,7,False
25.0,11,35893.0,15748,35893.0,0.0,0,14,11,12,0.0,-3,Female,Doctor,Divorced,Star,Standard,2014,5,False
24.0,15,36404.0,21508,36404.0,947.0,171,9,15,12,0.026012910314517235,6,Male,College,Single,Aurora,Standard,2013,6,False
19.0,15,31764.0,27734,31764.0,0.0,0,4,15,12,0.0,11,Female,Doctor,Married,Nova,Standard,2012,4,False
1.0,1,841.0,841,841.0,0.0,0,0,1,12,0.0,1,Male,Doctor,Single,Aurora,Standard,2018,11,False
20.0,13,31134.0,20260,31134.0,0.0,0,7,13,12,0.0,6,Female,Bachelor,Married,Aurora,Standard,2018,6,False
24.0,16,41062.0,29704,41062.0,644.0,116,8,16,12,0.0156832184691815,8,Male,Bachelor,Married,Aurora,Standard,2014,10,False
11.0,4,13381.0,3624,13381.0,0.0,0,7,4,12,0.0,-3,Female,Bachelor,Married,Star,Standard,2015,2,False
26.0,12,44152.0,16481,44152.0,0.0,0,14,12,12,0.0,-2,Female,Bachelor,Married,Aurora,Standard,2017,2,False
0.0,0,0.0,0,0.0,0.0,0,0,0,12,0.0,0,Female,Bachelor,Married,Star,Standard,2013,6,True
0.0,0,0.0,0,0.0,0.0,0,0,0,12,0.0,0,Female,Bachelor,Married,Nova,Standard,2012,4,False
21.0,10,32841.0,12129,32841.0,0.0,0,11,10,12,0.0,-1,Male,College,Single,Nova,Standard,2016,5,False
29.0,13,39408.0,13391,39408.0,489.0,88,16,13,12,0.012408333121875713,-3,Female,College,Single,Star,Standard,2013,7,False
3.0,0,3282.0,0,3282.0,0.0,0,3,0,12,0.0,-3,Female,College,Single,Star,Standard,2016,3,True
22.0,16,37295.0,28161,37295.0,1749.0,315,6,16,12,0.046895109395109394,10,Female,Bachelor,Married,Star,Standard,2015,11,False
15.0,9,24228.0,13995,24228.0,0.0,0,6,9,12,0.0,3,Female,High School or Below,Married,Aurora,Standard,2017,1,False
18.0,5,22576.0,5665,22576.0,459.0,83,13,5,12,0.020330424768569784,-8,Male,Doctor,Married,Aurora,Standard,2014,8,False
0.0,0,0.0,0,0.0,0.0,0,0,0,11,0.0,0,Female,College,Married,Nova,2018 Promotion,2018,4,False
